day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,기온(°C),강수량(mm),습도(%)
9.1화,KIA 타이거즈,8,2,0,10,2,0,패,대전,27.5,0,62
9.1화,한화 이글스,12,3,1,12,0,0,승,대전,27.5,0,62
9.1화,kt wiz,11,1,2,9,1,1,패,부산,25.1,0,79
9.1화,롯데 자이언츠,10,2,2,8,0,1,승,부산,25.1,0,79
9.1화,LG 트윈스,8,0,0,6,0,1,패,서울,28.4,0,52
9.1화,키움 히어로즈,11,3,2,10,1,0,승,서울,28.4,0,52
9.1화,SK 와이번스,10,0,0,8,1,0,패,서울,28.4,0,52
9.1화,두산 베어스,11,1,0,10,1,1,승,서울,28.4,0,52
9.1화,삼성 라이온즈,15,1,2,6,0,1,승,창원,24.2,0,83
9.1화,NC 다이노스,8,2,0,10,0,0,패,창원,24.2,0,83
9.2수,KIA 타이거즈,10,0,0,5,0,2,승,대전,22,2,91
9.2수,한화 이글스,12,2,0,9,2,3,패,대전,22,2,91
9.2수,kt wiz,5,0,1,8,1,0,패,부산,25.1,0,85
9.2수,롯데 자이언츠,12,0,0,11,2,0,승,부산,25.1,0,85
9.2수,LG 트윈스,15,0,0,9,1,2,패,서울,24.8,0,67
9.2수,키움 히어로즈,15,0,0,3,0,2,승,서울,24.8,0,67
9.2수,SK 와이번스,4,2,0,8,3,1,패,서울,24.8,0,67
9.2수,두산 베어스,10,0,1,4,1,1,승,서울,24.8,0,67
9.2수,삼성 라이온즈,15,3,0,2,0,0,승,창원,24.5,0,83
9.2수,NC 다이노스,5,0,0,3,1,0,패,창원,24.5,0,83
9.3목,kt wiz,9,0,0,13,1,1,승,서울,27.4,0,53
9.3목,LG 트윈스,10,0,0,6,1,0,패,서울,27.4,0,53
9.3목,롯데 자이언츠,11,2,1,10,0,0,승,광주,25.9,0,66
9.3목,KIA 타이거즈,9,1,0,4,1,3,패,광주,25.9,0,66
9.3목,두산 베어스,11,1,0,8,1,1,패,창원,23.3,0,81
9.3목,NC 다이노스,17,3,3,6,1,0,승,창원,23.3,0,81
9.3목,삼성 라이온즈,14,3,0,10,2,0,승,인천,25.7,0,93
9.3목,SK 와이번스,4,1,0,14,0,2,패,인천,25.7,0,93
9.3목,키움 히어로즈,14,2,3,7,1,1,승,대전,26.9,0,62
9.3목,한화 이글스,12,0,0,10,0,1,패,대전,26.9,0,62
9.4금,kt wiz,5,1,0,9,3,0,패,서울,27.6,0,50
9.4금,LG 트윈스,14,1,1,8,0,1,승,서울,27.6,0,50
9.4금,롯데 자이언츠,12,0,1,4,2,1,승,광주,27,0,66
9.4금,KIA 타이거즈,7,1,0,6,1,0,패,광주,27,0,66
9.4금,두산 베어스,13,1,0,7,1,0,승,창원,23.9,0,79
9.4금,NC 다이노스,7,1,2,7,0,1,패,창원,23.9,0,79
9.4금,삼성 라이온즈,5,1,0,6,2,3,패,인천,26.2,0,75
9.4금,SK 와이번스,15,2,0,7,1,1,승,인천,26.2,0,75
9.4금,키움 히어로즈,11,1,1,6,2,0,승,대전,28.1,0,58
9.4금,한화 이글스,14,2,0,6,0,0,패,대전,28.1,0,58
9.5토,KIA 타이거즈,12,2,0,6,1,0,승,대구,22,0,89
9.5토,삼성 라이온즈,2,0,0,7,1,1,패,대구,22,0,89
9.5토,롯데 자이언츠,12,1,0,5,0,0,승,서울,21.8,0,77
9.5토,LG 트윈스,12,1,0,5,1,0,패,서울,21.8,0,77
9.5토,NC 다이노스,8,1,0,8,0,1,패,수원,23.5,0,76
9.5토,kt wiz,14,1,0,9,1,1,승,수원,23.5,0,76
9.5토,두산 베어스,7,0,0,4,2,2,패,대전,22,0,87
9.5토,한화 이글스,10,2,0,5,2,0,승,대전,22,0,87
9.5토,키움 히어로즈,12,1,2,10,0,2,승,인천,22.8,0,98
9.5토,SK 와이번스,5,0,0,3,3,0,패,인천,22.8,0,98
9.6일,KIA 타이거즈,3,2,0,8,1,0,패,대구,19.9,0,89
9.6일,삼성 라이온즈,10,2,3,7,0,1,승,대구,19.9,0,89
9.6일,NC 다이노스,13,0,2,5,2,0,승,수원,24,0,56
9.6일,kt wiz,10,0,0,9,2,1,패,수원,24,0,56
9.6일,두산 베어스,12,0,0,2,1,0,패,대전,23.2,0,66
9.6일,한화 이글스,9,2,0,9,1,0,승,대전,23.2,0,66
9.6일,키움 히어로즈,6,0,4,10,0,0,패,인천,24.4,0,63
9.6일,SK 와이번스,7,3,0,3,0,2,승,인천,24.4,0,63
9.6일,롯데 자이언츠,14,0,0,8,3,1,무,서울,23.5,0,51
9.6일,LG 트윈스,10,0,1,7,0,0,무,서울,23.5,0,51
9.8화,한화 이글스,12,1,0,16,1,2,패,서울,27.5,0,26
9.8화,LG 트윈스,15,1,2,12,1,0,승,서울,27.5,0,26
9.8화,kt wiz,9,0,0,8,0,1,패,대구,22.8,0,52
9.8화,삼성 라이온즈,13,1,0,5,1,1,승,대구,22.8,0,52
9.8화,롯데 자이언츠,15,2,1,12,0,0,승,인천,27.5,0,35
9.8화,SK 와이번스,10,2,1,9,1,0,패,인천,27.5,0,35
9.8화,NC 다이노스,8,1,1,9,0,0,승,광주,25.6,0,44
9.8화,KIA 타이거즈,4,0,0,4,1,0,패,광주,25.6,0,44
9.8화,두산 베어스,5,1,0,4,1,2,패,서울,27.5,0,26
9.8화,키움 히어로즈,13,1,1,4,0,0,승,서울,27.5,0,26
9.9수,한화 이글스,4,0,0,10,0,1,패,서울,26.9,0,30
9.9수,LG 트윈스,13,2,1,5,1,1,승,서울,26.9,0,30
9.9수,kt wiz,9,1,1,12,0,0,패,대구,26.4,0,35
9.9수,삼성 라이온즈,12,1,1,5,1,0,승,대구,26.4,0,35
9.9수,롯데 자이언츠,4,1,0,7,0,0,패,인천,26.2,0,50
9.9수,SK 와이번스,9,1,1,5,1,0,승,인천,26.2,0,50
9.9수,NC 다이노스,5,0,1,7,1,1,패,광주,26.1,0,46
9.9수,KIA 타이거즈,12,2,1,6,0,0,승,광주,26.1,0,46
9.9수,두산 베어스,7,0,1,5,0,3,패,서울,26.9,0,30
9.9수,키움 히어로즈,11,1,0,3,2,1,승,서울,26.9,0,30
9.10목,KIA 타이거즈,9,2,0,5,1,0,승,서울,25.5,0,59
9.10목,두산 베어스,5,2,1,4,0,0,패,서울,25.5,0,59
9.10목,LG 트윈스,7,0,4,4,0,1,패,수원,23.9,0,65
9.10목,kt wiz,9,1,0,5,1,0,승,수원,23.9,0,65
9.10목,SK 와이번스,11,1,0,7,0,1,승,대전,26.1,0,54
9.10목,한화 이글스,5,1,0,7,3,1,패,대전,26.1,0,54
9.10목,삼성 라이온즈,7,1,0,6,0,0,패,부산,22.9,0,68
9.10목,롯데 자이언츠,10,1,0,6,0,0,승,부산,22.9,0,68
9.10목,키움 히어로즈,8,3,1,6,0,0,승,창원,22.4,0,65
9.10목,NC 다이노스,11,0,1,4,2,0,패,창원,22.4,0,65
9.11금,LG 트윈스,7,2,1,6,1,1,패,수원,22,0,76
9.11금,kt wiz,12,2,0,2,1,0,승,수원,22,0,76
9.11금,SK 와이번스,10,0,2,5,0,0,승,대전,21.3,0,86
9.11금,한화 이글스,11,0,0,9,1,0,패,대전,21.3,0,86
9.11금,삼성 라이온즈,14,3,1,6,0,0,승,부산,24.1,0,80
9.11금,롯데 자이언츠,11,3,0,9,0,2,패,부산,24.1,0,80
9.11금,키움 히어로즈,8,1,0,2,0,2,패,창원,23.7,0,76
9.11금,NC 다이노스,14,1,3,3,0,0,승,창원,23.7,0,76
9.12토,한화 이글스,3,1,0,8,0,2,패,부산,21.2,0,89
9.12토,롯데 자이언츠,11,3,0,3,1,0,승,부산,21.2,0,89
9.12토,kt wiz,16,1,3,9,1,0,승,서울,21.5,0,44
9.12토,두산 베어스,11,0,0,4,5,2,패,서울,21.5,0,44
9.12토,LG 트윈스,8,0,1,5,1,1,패,광주,20.7,0,90
9.12토,KIA 타이거즈,8,0,0,7,2,0,승,광주,20.7,0,90
9.12토,SK 와이번스,10,0,0,9,0,0,패,창원,20.3,4.2,90
