day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
4.6수,18:30,SK 와이번스,1,0,0,2,1,1,패
4.6수,18:30,롯데 자이언츠,14,3,1,2,0,1,승
4.6수,18:30,삼성 라이온즈,14,0,2,3,1,2,승
4.6수,18:30,kt wiz,7,3,0,6,0,2,패
4.6수,18:30,키움 히어로즈,6,0,0,12,0,0,승
4.6수,18:30,한화 이글스,11,2,1,5,1,1,패
4.7목,18:30,LG 트윈스,11,2,2,9,0,0,승
4.7목,18:30,KIA 타이거즈,9,0,1,6,1,0,패
4.7목,18:30,NC 다이노스,15,0,0,4,0,0,승
4.7목,18:30,두산 베어스,10,0,0,9,1,0,패
4.7목,18:30,SK 와이번스,12,3,2,5,0,0,승
4.7목,18:30,롯데 자이언츠,5,1,0,8,0,0,패
4.7목,18:30,삼성 라이온즈,9,1,3,4,0,1,승
4.7목,18:30,kt wiz,4,0,0,9,0,1,패
4.7목,18:30,키움 히어로즈,7,2,1,4,1,0,승
4.7목,18:30,한화 이글스,12,2,0,10,0,1,패
4.8금,18:30,한화 이글스,5,1,0,9,1,1,패
4.8금,18:30,NC 다이노스,9,1,3,6,2,0,승
4.8금,18:30,KIA 타이거즈,3,0,1,7,2,4,패
4.8금,18:30,kt wiz,8,0,1,3,3,1,승
4.8금,18:30,LG 트윈스,4,1,0,4,1,3,패
4.8금,18:30,SK 와이번스,8,0,0,4,0,1,승
4.8금,18:30,삼성 라이온즈,10,3,0,8,1,0,승
4.8금,18:30,롯데 자이언츠,10,1,1,9,2,2,패
4.8금,18:30,키움 히어로즈,9,1,2,12,1,2,패
4.8금,18:30,두산 베어스,8,1,2,7,0,0,승
4.9토,14:00,삼성 라이온즈,11,1,1,9,1,0,패
4.9토,14:00,롯데 자이언츠,15,1,1,6,2,1,승
4.9토,17:00,한화 이글스,7,0,0,8,3,0,패
4.9토,17:00,NC 다이노스,13,2,0,4,0,0,승
4.9토,17:00,KIA 타이거즈,9,0,3,9,0,0,승
4.9토,17:00,kt wiz,11,0,2,7,1,3,패
4.9토,17:00,LG 트윈스,8,1,0,5,3,0,패
4.9토,17:00,SK 와이번스,5,3,0,7,1,1,승
4.9토,17:00,키움 히어로즈,16,0,2,9,1,1,무
4.9토,17:00,두산 베어스,13,2,0,11,2,0,무
4.10일,14:00,한화 이글스,6,0,0,12,0,1,승
4.10일,14:00,NC 다이노스,2,0,2,9,0,0,패
4.10일,14:00,KIA 타이거즈,14,1,0,6,2,3,패
4.10일,14:00,kt wiz,11,2,1,10,1,0,승
4.10일,14:00,삼성 라이온즈,6,0,1,9,1,1,패
4.10일,14:00,롯데 자이언츠,11,1,2,6,1,0,승
4.10일,14:00,키움 히어로즈,8,0,0,10,0,0,승
4.10일,14:00,두산 베어스,10,0,0,4,0,0,패
4.10일,17:00,LG 트윈스,10,2,1,6,0,1,패
4.10일,17:00,SK 와이번스,9,2,0,5,1,1,승
4.12화,18:30,KIA 타이거즈,10,4,0,9,0,2,승
4.12화,18:30,SK 와이번스,7,2,3,11,0,0,패
4.12화,18:30,kt wiz,7,2,1,6,0,1,패
4.12화,18:30,키움 히어로즈,11,1,0,5,0,0,승
4.12화,18:30,롯데 자이언츠,16,1,0,10,0,0,패
4.12화,18:30,LG 트윈스,17,0,1,10,1,1,승
4.12화,18:30,NC 다이노스,10,3,0,4,0,2,패
4.12화,18:30,삼성 라이온즈,18,2,0,8,1,1,승
4.12화,18:30,두산 베어스,9,2,0,7,1,2,승
4.12화,18:30,한화 이글스,9,0,0,7,3,0,패
4.13수,18:30,KIA 타이거즈,6,0,0,10,2,0,패
4.13수,18:30,SK 와이번스,7,1,2,8,1,1,승
4.13수,18:30,kt wiz,13,1,2,11,0,2,승
4.13수,18:30,키움 히어로즈,13,1,4,10,0,0,패
4.13수,18:30,롯데 자이언츠,8,1,0,8,3,0,패
4.13수,18:30,LG 트윈스,9,1,1,11,0,1,승
4.13수,18:30,NC 다이노스,10,0,1,5,1,0,승
4.13수,18:30,삼성 라이온즈,5,0,1,6,1,0,패
4.13수,18:30,두산 베어스,15,1,0,6,0,0,승
4.13수,18:30,한화 이글스,15,0,1,12,1,2,패
4.14목,18:30,KIA 타이거즈,10,1,0,11,0,0,패
4.14목,18:30,SK 와이번스,14,0,1,8,1,0,승
4.14목,18:30,kt wiz,10,2,1,7,0,2,승
4.14목,18:30,키움 히어로즈,7,2,1,9,2,1,패
4.14목,18:30,롯데 자이언츠,15,1,0,8,0,1,승
4.14목,18:30,LG 트윈스,8,0,0,10,0,1,패
4.14목,18:30,NC 다이노스,8,2,2,16,1,2,패
4.14목,18:30,삼성 라이온즈,11,0,3,4,2,0,승
4.14목,18:30,두산 베어스,14,4,0,7,1,1,승
4.14목,18:30,한화 이글스,5,0,0,10,2,2,패
4.15금,18:30,LG 트윈스,19,4,2,7,2,1,승
4.15금,18:30,한화 이글스,9,0,0,4,4,3,패
4.15금,18:30,롯데 자이언츠,4,0,0,13,0,1,패
4.15금,18:30,NC 다이노스,9,0,2,10,1,1,승
4.15금,18:30,SK 와이번스,9,2,1,9,2,0,승
4.15금,18:30,kt wiz,7,0,0,8,1,2,패
4.15금,18:30,삼성 라이온즈,6,0,0,5,1,2,패
4.15금,18:30,두산 베어스,11,0,0,5,1,3,승
4.15금,18:30,키움 히어로즈,10,0,1,6,0,4,패
4.15금,18:30,KIA 타이거즈,13,1,3,4,2,1,승
4.17일,14:00,롯데 자이언츠,12,2,1,7,1,0,승
4.17일,14:00,NC 다이노스,13,1,0,5,2,1,패
4.17일,14:00,SK 와이번스,11,1,0,7,2,4,승
4.17일,14:00,kt wiz,9,0,1,8,1,1,패
4.17일,14:00,삼성 라이온즈,3,0,1,5,1,1,패
4.17일,14:00,두산 베어스,12,0,2,7,2,0,승
4.17일,14:00,키움 히어로즈,9,0,0,3,3,0,승
4.17일,14:00,KIA 타이거즈,11,1,0,5,0,0,패
4.17일,17:00,LG 트윈스,10,2,1,11,0,3,승
4.17일,17:00,한화 이글스,7,0,1,11,2,0,패
4.19화,18:30,한화 이글스,8,1,0,11,0,1,패
4.19화,18:30,롯데 자이언츠,5,0,0,8,0,0,승
4.19화,18:30,NC 다이노스,12,1,0,6,0,1,승
4.19화,18:30,LG 트윈스,1,0,0,8,0,1,패
4.19화,18:30,두산 베어스,7,0,0,7,1,1,승
4.19화,18:30,kt wiz,10,1,0,4,3,1,패
4.19화,18:30,삼성 라이온즈,10,1,0,7,1,0,패
4.19화,18:30,KIA 타이거즈,11,2,0,5,1,1,승
4.19화,18:30,키움 히어로즈,10,1,0,8,1,0,승
4.19화,18:30,SK 와이번스,7,1,1,9,0,1,패
4.20수,18:30,한화 이글스,10,1,0,3,1,1,패
4.20수,18:30,롯데 자이언츠,17,1,5,6,2,0,승
4.20수,18:30,NC 다이노스,11,0,0,6,3,1,패
4.20수,18:30,LG 트윈스,6,2,0,5,0,0,승
4.20수,18:30,두산 베어스,16,2,0,10,1,1,승
4.20수,18:30,kt wiz,8,2,4,13,0,1,패
4.20수,18:30,삼성 라이온즈,9,0,0,5,1,1,승
4.20수,18:30,KIA 타이거즈,7,0,2,6,2,1,패
4.20수,18:30,키움 히어로즈,8,1,0,9,2,3,패
4.20수,18:30,SK 와이번스,13,1,0,2,1,0,승
4.21목,18:30,한화 이글스,13,0,2,10,0,1,승
4.21목,18:30,롯데 자이언츠,9,0,3,9,1,1,패
4.21목,18:30,NC 다이노스,14,0,0,6,0,0,승
4.21목,18:30,LG 트윈스,12,3,0,11,0,2,패
4.21목,18:30,두산 베어스,9,1,0,7,1,0,패
4.21목,18:30,kt wiz,14,2,1,3,1,0,승
4.21목,18:30,삼성 라이온즈,15,1,0,7,1,0,승
4.21목,18:30,KIA 타이거즈,7,0,0,8,0,2,패
4.21목,18:30,키움 히어로즈,6,1,1,11,0,2,패
4.21목,18:30,SK 와이번스,6,1,2,5,0,1,승
4.22금,18:30,한화 이글스,7,1,0,6,0,0,패
4.22금,18:30,두산 베어스,13,1,1,4,0,0,승
4.22금,18:30,KIA 타이거즈,10,2,0,10,0,2,패
4.22금,18:30,롯데 자이언츠,13,0,1,3,0,0,승
4.22금,18:30,kt wiz,16,2,0,5,1,0,승
4.22금,18:30,삼성 라이온즈,9,1,0,2,1,0,패
4.22금,18:30,LG 트윈스,5,1,0,6,1,1,패
4.22금,18:30,키움 히어로즈,14,2,0,6,2,0,승
4.22금,18:30,NC 다이노스,8,1,0,8,1,0,승
4.22금,18:30,SK 와이번스,9,1,0,8,1,2,패
4.23토,17:00,한화 이글스,6,1,0,9,0,0,패
4.23토,17:00,두산 베어스,7,1,2,5,1,0,승
4.23토,17:00,KIA 타이거즈,21,3,0,7,0,1,승
4.23토,17:00,롯데 자이언츠,14,2,2,7,1,4,패
4.23토,17:00,kt wiz,12,1,2,5,1,0,승
4.23토,17:00,삼성 라이온즈,7,0,0,3,1,0,패
4.23토,17:00,LG 트윈스,8,0,0,8,0,0,패
4.23토,17:00,키움 히어로즈,18,2,0,11,0,2,승
4.23토,17:00,NC 다이노스,6,1,0,7,0,3,패
4.23토,17:00,SK 와이번스,13,0,0,7,1,0,승
4.24일,14:00,KIA 타이거즈,15,2,3,5,0,0,승
4.24일,14:00,롯데 자이언츠,8,3,0,10,0,1,패
4.24일,14:00,kt wiz,6,0,0,6,1,1,패
4.24일,14:00,삼성 라이온즈,10,1,0,3,0,0,승
4.24일,14:00,LG 트윈스,10,1,1,8,0,0,승
4.24일,14:00,키움 히어로즈,11,0,2,6,0,1,패
4.24일,14:00,NC 다이노스,5,2,0,6,1,0,패
4.24일,14:00,SK 와이번스,9,1,1,7,0,0,승
4.24일,17:00,한화 이글스,4,1,0,9,0,5,패
4.24일,17:00,두산 베어스,5,0,0,6,2,1,승
4.26화,18:30,KIA 타이거즈,7,0,1,11,0,1,패
4.26화,18:30,한화 이글스,6,1,0,5,1,0,승
4.26화,18:30,LG 트윈스,7,0,2,8,0,0,승
4.26화,18:30,삼성 라이온즈,2,0,0,7,1,0,패
4.26화,18:30,롯데 자이언츠,5,0,1,8,0,0,패
4.26화,18:30,kt wiz,7,1,0,4,2,0,승
4.26화,18:30,SK 와이번스,13,0,0,6,1,1,패
4.26화,18:30,두산 베어스,7,1,1,6,2,1,승
4.26화,18:30,키움 히어로즈,9,0,0,10,1,0,패
4.26화,18:30,NC 다이노스,11,0,0,3,1,0,승
4.27수,18:30,롯데 자이언츠,10,0,0,6,0,1,승
4.27수,18:30,kt wiz,3,0,0,6,1,0,패
4.27수,18:30,SK 와이번스,6,1,1,8,0,0,승
4.27수,18:30,두산 베어스,9,0,0,5,1,1,패
4.28목,18:30,KIA 타이거즈,7,1,0,13,0,0,패
4.28목,18:30,한화 이글스,9,0,2,7,0,3,승
4.28목,18:30,LG 트윈스,11,3,0,11,0,2,패
4.28목,18:30,삼성 라이온즈,7,1,2,9,0,0,승
4.28목,18:30,롯데 자이언츠,12,4,1,5,1,0,승
4.28목,18:30,kt wiz,8,1,0,7,2,1,패
4.28목,18:30,SK 와이번스,8,0,2,6,2,0,패
4.28목,18:30,두산 베어스,9,1,1,1,2,1,승
4.28목,18:30,키움 히어로즈,9,1,1,7,0,1,승
4.28목,18:30,NC 다이노스,8,0,1,11,0,1,패
4.29금,18:30,kt wiz,7,0,1,5,1,2,패
4.29금,18:30,LG 트윈스,10,1,0,8,0,0,승
4.29금,18:30,NC 다이노스,9,2,0,8,1,0,승
4.29금,18:30,롯데 자이언츠,7,1,1,7,1,0,패
4.29금,18:30,두산 베어스,5,0,0,5,0,3,패
4.29금,18:30,KIA 타이거즈,7,0,0,9,0,0,승
4.29금,18:30,SK 와이번스,10,0,0,5,0,2,승
4.29금,18:30,키움 히어로즈,7,0,1,7,1,0,패
4.29금,18:30,삼성 라이온즈,9,2,1,8,2,0,패
4.29금,18:30,한화 이글스,15,3,0,6,1,0,승
4.30토,17:00,kt wiz,9,0,0,6,0,0,승
4.30토,17:00,LG 트윈스,5,0,0,7,0,0,패
4.30토,17:00,NC 다이노스,11,2,0,9,0,1,승
4.30토,17:00,롯데 자이언츠,5,0,0,12,1,0,패
4.30토,17:00,두산 베어스,10,1,1,6,1,0,승
4.30토,17:00,KIA 타이거즈,11,1,0,7,1,1,패
4.30토,17:00,SK 와이번스,13,1,1,7,0,0,승
4.30토,17:00,키움 히어로즈,5,0,1,7,1,1,패
4.30토,17:00,삼성 라이온즈,10,2,0,3,2,1,승
4.30토,17:00,한화 이글스,7,0,0,7,0,4,패
