day_text,times_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text
9.1화,18:30,KIA 타이거즈,8,2,0,10,2,0,패
9.1화,18:30,한화 이글스,12,3,1,12,0,0,승
9.1화,18:30,kt wiz,11,1,2,9,1,1,패
9.1화,18:30,롯데 자이언츠,10,2,2,8,0,1,승
9.1화,18:30,LG 트윈스,8,0,0,6,0,1,패
9.1화,18:30,키움 히어로즈,11,3,2,10,1,0,승
9.1화,18:30,SK 와이번스,10,0,0,8,1,0,패
9.1화,18:30,두산 베어스,11,1,0,10,1,1,승
9.1화,18:30,삼성 라이온즈,15,1,2,6,0,1,승
9.1화,18:30,NC 다이노스,8,2,0,10,0,0,패
9.2수,18:30,KIA 타이거즈,10,0,0,5,0,2,승
9.2수,18:30,한화 이글스,12,2,0,9,2,3,패
9.2수,18:30,kt wiz,5,0,1,8,1,0,패
9.2수,18:30,롯데 자이언츠,12,0,0,11,2,0,승
9.2수,18:30,LG 트윈스,15,0,0,9,1,2,패
9.2수,18:30,키움 히어로즈,15,0,0,3,0,2,승
9.2수,18:30,SK 와이번스,4,2,0,8,3,1,패
9.2수,18:30,두산 베어스,10,0,1,4,1,1,승
9.2수,18:30,삼성 라이온즈,15,3,0,2,0,0,승
9.2수,18:30,NC 다이노스,5,0,0,3,1,0,패
9.3목,18:30,kt wiz,9,0,0,13,1,1,승
9.3목,18:30,LG 트윈스,10,0,0,6,1,0,패
9.3목,18:30,롯데 자이언츠,11,2,1,10,0,0,승
9.3목,18:30,KIA 타이거즈,9,1,0,4,1,3,패
9.3목,18:30,두산 베어스,11,1,0,8,1,1,패
9.3목,18:30,NC 다이노스,17,3,3,6,1,0,승
9.3목,18:30,삼성 라이온즈,14,3,0,10,2,0,승
9.3목,18:30,SK 와이번스,4,1,0,14,0,2,패
9.3목,18:30,키움 히어로즈,14,2,3,7,1,1,승
9.3목,18:30,한화 이글스,12,0,0,10,0,1,패
9.4금,18:30,kt wiz,5,1,0,9,3,0,패
9.4금,18:30,LG 트윈스,14,1,1,8,0,1,승
9.4금,18:30,롯데 자이언츠,12,0,1,4,2,1,승
9.4금,18:30,KIA 타이거즈,7,1,0,6,1,0,패
9.4금,18:30,두산 베어스,13,1,0,7,1,0,승
9.4금,18:30,NC 다이노스,7,1,2,7,0,1,패
9.4금,18:30,삼성 라이온즈,5,1,0,6,2,3,패
9.4금,18:30,SK 와이번스,15,2,0,7,1,1,승
9.4금,18:30,키움 히어로즈,11,1,1,6,2,0,승
9.4금,18:30,한화 이글스,14,2,0,6,0,0,패
9.5토,17:00,KIA 타이거즈,12,2,0,6,1,0,승
9.5토,17:00,삼성 라이온즈,2,0,0,7,1,1,패
9.5토,17:00,롯데 자이언츠,12,1,0,5,0,0,승
9.5토,17:00,LG 트윈스,12,1,0,5,1,0,패
9.5토,17:00,NC 다이노스,8,1,0,8,0,1,패
9.5토,17:00,kt wiz,14,1,0,9,1,1,승
9.5토,17:00,두산 베어스,7,0,0,4,2,2,패
9.5토,17:00,한화 이글스,10,2,0,5,2,0,승
9.5토,17:00,키움 히어로즈,12,1,2,10,0,2,승
9.5토,17:00,SK 와이번스,5,0,0,3,3,0,패
9.6일,14:00,KIA 타이거즈,3,2,0,8,1,0,패
9.6일,14:00,삼성 라이온즈,10,2,3,7,0,1,승
9.6일,14:00,NC 다이노스,13,0,2,5,2,0,승
9.6일,14:00,kt wiz,10,0,0,9,2,1,패
9.6일,14:00,두산 베어스,12,0,0,2,1,0,패
9.6일,14:00,한화 이글스,9,2,0,9,1,0,승
9.6일,14:00,키움 히어로즈,6,0,4,10,0,0,패
9.6일,14:00,SK 와이번스,7,3,0,3,0,2,승
9.6일,17:00,롯데 자이언츠,14,0,0,8,3,1,무
9.6일,17:00,LG 트윈스,10,0,1,7,0,0,무
9.8화,18:30,한화 이글스,12,1,0,16,1,2,패
9.8화,18:30,LG 트윈스,15,1,2,12,1,0,승
9.8화,18:30,kt wiz,9,0,0,8,0,1,패
9.8화,18:30,삼성 라이온즈,13,1,0,5,1,1,승
9.8화,18:30,롯데 자이언츠,15,2,1,12,0,0,승
9.8화,18:30,SK 와이번스,10,2,1,9,1,0,패
9.8화,18:30,NC 다이노스,8,1,1,9,0,0,승
9.8화,18:30,KIA 타이거즈,4,0,0,4,1,0,패
9.8화,18:30,두산 베어스,5,1,0,4,1,2,패
9.8화,18:30,키움 히어로즈,13,1,1,4,0,0,승
9.9수,18:30,한화 이글스,4,0,0,10,0,1,패
9.9수,18:30,LG 트윈스,13,2,1,5,1,1,승
9.9수,18:30,kt wiz,9,1,1,12,0,0,패
9.9수,18:30,삼성 라이온즈,12,1,1,5,1,0,승
9.9수,18:30,롯데 자이언츠,4,1,0,7,0,0,패
9.9수,18:30,SK 와이번스,9,1,1,5,1,0,승
9.9수,18:30,NC 다이노스,5,0,1,7,1,1,패
9.9수,18:30,KIA 타이거즈,12,2,1,6,0,0,승
9.9수,18:30,두산 베어스,7,0,1,5,0,3,패
9.9수,18:30,키움 히어로즈,11,1,0,3,2,1,승
9.10목,18:30,KIA 타이거즈,9,2,0,5,1,0,승
9.10목,18:30,두산 베어스,5,2,1,4,0,0,패
9.10목,18:30,LG 트윈스,7,0,4,4,0,1,패
9.10목,18:30,kt wiz,9,1,0,5,1,0,승
9.10목,18:30,SK 와이번스,11,1,0,7,0,1,승
9.10목,18:30,한화 이글스,5,1,0,7,3,1,패
9.10목,18:30,삼성 라이온즈,7,1,0,6,0,0,패
9.10목,18:30,롯데 자이언츠,10,1,0,6,0,0,승
9.10목,18:30,키움 히어로즈,8,3,1,6,0,0,승
9.10목,18:30,NC 다이노스,11,0,1,4,2,0,패
9.11금,18:30,LG 트윈스,7,2,1,6,1,1,패
9.11금,18:30,kt wiz,12,2,0,2,1,0,승
9.11금,18:30,SK 와이번스,10,0,2,5,0,0,승
9.11금,18:30,한화 이글스,11,0,0,9,1,0,패
9.11금,18:30,삼성 라이온즈,14,3,1,6,0,0,승
9.11금,18:30,롯데 자이언츠,11,3,0,9,0,2,패
9.11금,18:30,키움 히어로즈,8,1,0,2,0,2,패
9.11금,18:30,NC 다이노스,14,1,3,3,0,0,승
