day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
9.1일,LG 트윈스,11,1,1,8,2,0,승,부산,26.1,0,55
9.1일,롯데 자이언츠,5,0,2,7,0,0,패,부산,26.1,0,55
9.1일,NC 다이노스,16,3,0,6,0,0,승,광주,26.6,0,58
9.1일,KIA 타이거즈,9,1,1,13,2,2,패,광주,26.6,0,58
9.1일,삼성 라이온즈,7,0,0,3,1,2,패,서울,26.9,0,35
9.1일,두산 베어스,7,1,0,5,1,0,승,서울,26.9,0,35
9.1일,키움 히어로즈,11,1,3,7,1,0,승,대전,26.4,0,64
9.1일,한화 이글스,10,0,1,5,1,0,패,대전,26.4,0,64
9.3화,KIA 타이거즈,9,1,2,12,0,0,승,대구,22.9,0,61
9.3화,삼성 라이온즈,7,0,1,7,1,0,패,대구,22.9,0,61
9.3화,롯데 자이언츠,10,1,3,7,1,0,승,서울,25.5,0,29
9.3화,키움 히어로즈,13,0,1,11,0,0,패,서울,25.5,0,29
9.3화,두산 베어스,13,2,2,4,0,0,승,대전,23.5,0,59
9.3화,한화 이글스,6,0,1,5,1,1,패,대전,23.5,0,59
9.3화,SK 와이번스,8,0,0,5,0,0,승,서울,25.5,0,29
9.3화,LG 트윈스,10,0,1,12,1,0,패,서울,25.5,0,29
9.4수,KIA 타이거즈,12,2,0,6,0,0,승,대구,24.6,0,46
9.4수,삼성 라이온즈,12,0,1,6,0,0,패,대구,24.6,0,46
9.4수,롯데 자이언츠,7,0,0,8,2,0,패,서울,26,0,35
9.4수,키움 히어로즈,8,0,2,9,1,1,승,서울,26,0,35
9.4수,두산 베어스,14,1,0,6,0,1,승,대전,24.7,0,54
9.4수,한화 이글스,7,0,0,5,1,1,패,대전,24.7,0,54
9.4수,SK 와이번스,4,0,0,5,0,1,패,서울,26,0,35
9.4수,LG 트윈스,6,0,1,8,1,1,승,서울,26,0,35
9.5목,KIA 타이거즈,5,1,0,5,2,1,패,서울,22.8,0,53
9.5목,두산 베어스,11,2,2,5,1,0,승,서울,22.8,0,53
9.5목,LG 트윈스,4,0,1,7,1,1,패,대전,22.6,0,73
9.5목,한화 이글스,5,0,2,6,3,0,승,대전,22.6,0,73
9.5목,SK 와이번스,15,1,3,7,1,0,승,부산,23.2,0,57
9.5목,롯데 자이언츠,8,1,0,9,0,1,패,부산,23.2,0,57
9.5목,키움 히어로즈,9,0,1,10,1,2,승,창원,24,0,54
9.5목,NC 다이노스,2,0,0,13,0,1,패,창원,24,0,54
9.6금,KIA 타이거즈,7,0,2,5,1,1,패,서울,20.9,0,58
9.6금,두산 베어스,8,0,3,7,1,1,승,서울,20.9,0,58
9.6금,LG 트윈스,11,0,1,7,0,0,승,대전,18.7,0,93
9.6금,한화 이글스,6,0,1,6,0,2,패,대전,18.7,0,93
9.7토,한화 이글스,14,0,2,8,0,2,승,광주,25,0,63
9.7토,KIA 타이거즈,7,1,1,3,3,1,패,광주,25,0,63
9.7토,NC 다이노스,6,2,0,10,0,1,패,인천,23.7,0,77
9.7토,SK 와이번스,6,2,0,10,0,0,승,인천,23.7,0,77
9.7토,두산 베어스,6,0,2,6,2,1,패,서울,25.8,0,44
9.7토,키움 히어로즈,13,1,3,6,0,0,승,서울,25.8,0,44
9.7토,삼성 라이온즈,16,0,0,2,2,1,승,서울,25.8,0,44
9.7토,LG 트윈스,9,0,2,8,1,0,패,서울,25.8,0,44
9.8일,한화 이글스,15,1,0,8,1,3,승,광주,26.3,0,49
9.8일,KIA 타이거즈,11,1,0,10,0,0,패,광주,26.3,0,49
9.8일,NC 다이노스,11,0,1,9,0,0,패,인천,24,0,77
9.8일,SK 와이번스,14,3,1,6,1,1,승,인천,24,0,77
9.8일,두산 베어스,10,1,0,7,0,0,패,서울,26.1,0,42
9.8일,키움 히어로즈,8,3,0,5,0,0,승,서울,26.1,0,42
9.8일,삼성 라이온즈,7,1,0,8,1,0,패,서울,26.1,0,42
9.8일,LG 트윈스,9,1,1,4,0,0,승,서울,26.1,0,42
9.10화,롯데 자이언츠,3,1,1,6,0,1,패,창원,25.1,0,61
9.10화,NC 다이노스,3,0,0,7,0,0,승,창원,25.1,0,61
9.10화,SK 와이번스,10,1,1,12,0,0,승,광주,26.1,0,55
9.10화,KIA 타이거즈,5,1,1,15,0,0,패,광주,26.1,0,55
9.11수,롯데 자이언츠,7,1,1,7,1,0,승,창원,26.1,0,74
9.11수,NC 다이노스,2,0,0,6,1,1,패,창원,26.1,0,74
9.11수,SK 와이번스,4,0,1,7,1,0,패,광주,25.3,0,74
9.11수,KIA 타이거즈,9,0,1,9,0,3,승,광주,25.3,0,74
9.11수,삼성 라이온즈,10,3,0,10,0,0,승,서울,20.7,0,90
9.11수,키움 히어로즈,11,0,0,7,3,1,패,서울,20.7,0,90
9.12목,한화 이글스,13,3,0,9,0,1,승,창원,25.7,0,68
9.12목,NC 다이노스,9,0,1,10,1,1,패,창원,25.7,0,68
9.12목,KIA 타이거즈,10,0,0,8,3,0,패,서울,25.3,0,70
9.12목,LG 트윈스,11,0,0,2,0,0,승,서울,25.3,0,70
9.12목,롯데 자이언츠,3,0,1,11,0,0,승,대구,22.1,0,89
9.12목,삼성 라이온즈,2,0,0,8,0,0,패,대구,22.1,0,89
9.12목,두산 베어스,10,2,1,8,1,1,승,인천,23.8,0,86
9.12목,SK 와이번스,9,1,1,9,2,2,패,인천,23.8,0,86
9.13금,한화 이글스,4,0,0,10,2,0,패,창원,28.3,0,69
9.13금,NC 다이노스,8,1,1,3,0,1,승,창원,28.3,0,69
9.13금,KIA 타이거즈,5,0,1,6,1,0,패,서울,24.7,0,82
9.13금,LG 트윈스,11,1,0,6,0,0,승,서울,24.7,0,82
9.13금,롯데 자이언츠,11,2,0,4,0,1,패,대구,30.3,0,53
9.13금,삼성 라이온즈,11,1,0,5,0,0,승,대구,30.3,0,53
9.13금,두산 베어스,4,0,0,11,0,1,패,인천,24.1,0,99
9.13금,SK 와이번스,11,1,1,3,0,0,승,인천,24.1,0,99
9.14토,NC 다이노스,3,0,0,9,1,0,패,서울,24.6,0,70
9.14토,LG 트윈스,6,0,0,2,2,2,승,서울,24.6,0,70
9.14토,두산 베어스,13,1,0,3,2,1,승,부산,25.4,0,69
