day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,location,temp,rain,humidity
10.1목,한화 이글스,11,0,0,16,0,1,패,서울,17.9,0,88
10.1목,키움 히어로즈,6,0,0,8,1,0,승,서울,17.9,0,88
10.1목,NC 다이노스,15,0,0,4,3,1,승,서울,17.9,0,88
10.1목,LG 트윈스,8,0,0,3,1,0,패,서울,17.9,0,88
10.1목,두산 베어스,7,1,1,7,1,0,승,인천,17.6,0,98
10.1목,SK 와이번스,6,0,0,6,0,0,패,인천,17.6,0,98
10.2금,한화 이글스,7,0,2,10,1,0,승,서울,19.5,0,53
10.2금,LG 트윈스,11,1,1,6,1,3,패,서울,19.5,0,53
10.2금,kt wiz,8,1,1,12,1,1,패,대구,21.3,0,34
10.2금,삼성 라이온즈,13,0,1,7,2,1,승,대구,21.3,0,34
10.2금,롯데 자이언츠,10,2,0,8,0,0,패,서울,19.5,0,53
10.2금,키움 히어로즈,13,4,2,3,0,1,승,서울,19.5,0,53
10.2금,NC 다이노스,13,1,1,7,0,0,승,인천,20,0,72
10.2금,SK 와이번스,7,1,1,10,2,1,패,인천,20,0,72
10.2금,두산 베어스,2,0,0,7,2,1,패,광주,19.5,0,52
10.2금,KIA 타이거즈,5,0,2,15,0,0,승,광주,19.5,0,52
10.3토,한화 이글스,8,0,0,7,1,0,패,수원,19.4,0,47
10.3토,kt wiz,5,2,1,1,0,0,승,수원,19.4,0,47
10.3토,롯데 자이언츠,8,1,1,5,2,0,패,서울,19.9,0,28
10.3토,LG 트윈스,8,0,0,5,0,0,승,서울,19.9,0,28
10.3토,NC 다이노스,6,0,2,7,2,1,패,인천,19.7,0,42
10.3토,SK 와이번스,11,2,0,7,2,1,승,인천,19.7,0,42
10.3토,두산 베어스,15,2,1,5,0,3,승,광주,21.8,0,66
10.3토,KIA 타이거즈,9,1,1,6,1,1,패,광주,21.8,0,66
10.3토,삼성 라이온즈,8,0,1,5,1,0,승,서울,19.9,0,28
10.3토,키움 히어로즈,1,0,0,12,0,0,패,서울,19.9,0,28
10.4일,KIA 타이거즈,6,0,0,7,0,0,패,서울,19.7,0,32
10.4일,두산 베어스,10,1,4,3,0,0,승,서울,19.7,0,32
10.4일,kt wiz,11,0,1,7,0,2,패,부산,19.5,0,61
10.4일,롯데 자이언츠,6,2,0,8,1,0,승,부산,19.5,0,61
10.5월,kt wiz,14,1,1,12,1,0,무,창원,18.3,0,71
10.5월,NC 다이노스,9,1,1,13,0,2,무,창원,18.3,0,71
10.5월,삼성 라이온즈,9,0,2,7,2,0,승,광주,23.6,0,40
10.5월,KIA 타이거즈,8,2,0,9,1,4,패,광주,23.6,0,40
10.6화,LG 트윈스,16,0,1,4,1,0,승,광주,23.5,0,39
10.6화,KIA 타이거즈,8,0,1,11,0,1,패,광주,23.5,0,39
10.7수,SK 와이번스,12,1,1,13,1,1,패,서울,22,0,53
10.7수,키움 히어로즈,8,0,1,13,1,1,승,서울,22,0,53
10.10토,키움 히어로즈,5,2,0,7,0,0,패,서울,13.3,0,76
10.10토,두산 베어스,10,0,0,7,2,0,승,서울,13.3,0,76
10.11일,키움 히어로즈,7,1,0,8,0,1,패,서울,12,1.5,90
10.11일,두산 베어스,6,0,1,8,0,0,승,서울,12,1.5,90
10.13화,두산 베어스,7,0,0,12,1,1,패,서울,18.1,0,61
10.13화,키움 히어로즈,10,2,0,5,0,0,승,서울,18.1,0,61
10.14수,두산 베어스,18,0,1,1,3,1,승,서울,20.3,0,52
10.14수,키움 히어로즈,13,1,1,6,0,2,패,서울,20.3,0,52
10.18일,두산 베어스,10,3,0,12,1,0,승,창원,19,0,70
10.18일,NC 다이노스,3,0,1,6,2,1,패,창원,19,0,70
10.19월,두산 베어스,3,1,1,8,1,0,패,창원,18.4,0,78
10.19월,NC 다이노스,6,0,1,6,2,0,승,창원,18.4,0,78
10.21수,NC 다이노스,19,2,2,10,0,1,승,서울,20,0,64
10.21수,두산 베어스,3,0,0,5,1,1,패,서울,20,0,64
10.22목,NC 다이노스,5,0,0,9,0,1,패,서울,19.3,0,62
10.22목,두산 베어스,13,0,1,6,0,1,승,서울,19.3,0,62
10.24토,두산 베어스,9,1,2,6,0,0,승,창원,20,0,64
10.24토,NC 다이노스,10,1,0,2,1,0,패,창원,20,0,64
10.26월,두산 베어스,13,1,0,8,1,1,패,대구,17.5,0,55
10.26월,삼성 라이온즈,11,2,0,2,0,0,승,대구,17.5,0,55
10.27화,두산 베어스,9,0,0,4,0,2,승,대구,15.8,0,61
10.27화,삼성 라이온즈,6,0,2,6,1,0,패,대구,15.8,0,61
10.29목,삼성 라이온즈,8,0,0,6,0,1,패,서울,11.1,0,61
10.29목,두산 베어스,6,0,1,5,2,0,승,서울,11.1,0,61
10.30금,삼성 라이온즈,9,0,1,6,2,1,패,서울,7.2,0,37
10.30금,두산 베어스,9,0,0,5,2,1,승,서울,7.2,0,37
