day_text,day_text,team_text,H_text,HR_text,S_text,ST_text,DU_text,ER_text,result_text,지점명,,,,,,지점명,일시,기온(°C),강수량(mm),습도(%)
6.1일,6.1,LG 트윈스,12,1,2,12,1,1,패,서울,,,,,,서울,4.1,19.2,,25
6.1일,6.1,키움 히어로즈,13,2,2,7,0,0,승,서울,,,,,,서울,4.2,18.7,,21
6.1일,6.1,롯데 자이언츠,18,1,2,2,1,0,승,서울,,,,,,서울,4.3,10.1,,61
6.1일,6.1,두산 베어스,11,3,0,2,0,0,패,서울,,,,,,서울,4.4,8.5,,37
6.1일,6.1,NC 다이노스,6,2,0,12,1,1,패,광주,,,,,,서울,4.5,6.5,0,71
6.1일,6.1,KIA 타이거즈,13,1,2,4,2,0,승,광주,,,,,,서울,4.6,10.7,,39
6.1일,6.1,SK 와이번스,9,1,2,10,0,2,패,대전,,,,,,서울,4.7,13.4,,54
6.1일,6.1,한화 이글스,12,0,1,4,0,1,승,대전,,,,,,서울,4.8,17.2,,27
6.3화,6.3,KIA 타이거즈,8,0,1,10,0,0,패,대구,,,,,,서울,4.9,13.1,,75
6.3화,6.3,삼성 라이온즈,9,0,2,3,1,1,승,대구,,,,,,서울,4.10,17.6,,56
6.3화,6.3,키움 히어로즈,9,1,0,9,0,0,패,창원,,,,,,서울,4.11,15.7,,67
6.3화,6.3,NC 다이노스,7,1,4,6,0,0,승,창원,,,,,,서울,4.12,15.6,,64
6.4수,6.4,KIA 타이거즈,7,1,0,6,0,0,패,대구,,,,,,서울,4.13,19.7,,48
6.4수,6.4,삼성 라이온즈,13,3,4,6,1,1,승,대구,,,,,,서울,4.14,19.3,,40
6.4수,6.4,두산 베어스,9,2,0,4,3,3,패,인천,,,,,,서울,4.15,15.7,,71
6.4수,6.4,SK 와이번스,9,1,2,6,1,1,승,인천,,,,,,서울,4.16,18.6,,63
6.4수,6.4,키움 히어로즈,8,1,0,6,0,1,패,창원,,,,,,서울,4.17,19.2,,37
6.4수,6.4,NC 다이노스,23,7,0,7,1,0,승,창원,,,,,,서울,4.18,19.6,,41
6.5목,6.5,한화 이글스,6,1,0,6,2,1,패,부산,,,,,,서울,4.19,15.7,,51
6.5목,6.5,롯데 자이언츠,12,0,1,6,0,1,승,부산,,,,,,서울,4.20,16.9,,46
6.5목,6.5,KIA 타이거즈,15,1,1,13,0,2,승,대구,,,,,,서울,4.21,18.3,,34
6.5목,6.5,삼성 라이온즈,17,1,4,6,0,2,패,대구,,,,,,서울,4.22,20.4,,24
6.5목,6.5,두산 베어스,4,0,0,7,2,1,패,인천,,,,,,서울,4.23,22.8,,32
6.5목,6.5,SK 와이번스,10,1,1,8,0,0,승,인천,,,,,,서울,4.24,23.2,,22
6.5목,6.5,키움 히어로즈,8,1,3,8,0,1,패,창원,,,,,,서울,4.25,23.1,,22
6.5목,6.5,NC 다이노스,11,2,4,5,0,1,승,창원,,,,,,서울,4.26,20.6,,35
6.6금,6.6,KIA 타이거즈,13,0,2,7,1,1,승,서울,,,,,,서울,4.27,16.9,0,70
6.6금,6.6,LG 트윈스,6,0,3,9,0,0,패,서울,,,,,,서울,4.28,14.9,0,78
6.6금,6.6,롯데 자이언츠,8,2,0,8,0,1,패,인천,,,,,,서울,4.29,16.8,,62
6.6금,6.6,SK 와이번스,14,1,2,6,1,1,승,인천,,,,,,서울,4.30,19.8,,54
6.6금,6.6,두산 베어스,15,1,0,2,2,0,패,서울,,,,,,서울,5.1,20,,45
6.6금,6.6,키움 히어로즈,20,7,0,5,0,1,승,서울,,,,,,서울,5.2,14.9,0,93
6.6금,6.6,삼성 라이온즈,6,0,2,2,0,1,패,대전,,,,,,서울,5.3,17.1,,43
6.6금,6.6,한화 이글스,13,3,0,4,0,2,승,대전,,,,,,서울,5.4,12.3,0.1,75
6.7토,6.7,KIA 타이거즈,11,3,1,3,0,0,승,서울,,,,,,서울,5.5,13.2,,42
6.7토,6.7,LG 트윈스,5,0,0,3,1,0,패,서울,,,,,,서울,5.6,16.7,,29
6.7토,6.7,롯데 자이언츠,10,1,1,7,0,1,승,인천,,,,,,서울,5.7,18.9,,37
6.7토,6.7,SK 와이번스,9,0,0,10,0,0,패,인천,,,,,,서울,5.8,16.1,,73
6.7토,6.7,두산 베어스,10,3,1,7,1,1,패,서울,,,,,,서울,5.9,23,,31
6.7토,6.7,키움 히어로즈,13,4,2,7,0,1,승,서울,,,,,,서울,5.10,25.8,,35
6.7토,6.7,삼성 라이온즈,11,1,0,2,0,0,승,대전,,,,,,서울,5.11,21.1,0.3,59
6.7토,6.7,한화 이글스,8,2,0,4,2,2,패,대전,,,,,,서울,5.12,19.3,,59
6.8일,6.8,KIA 타이거즈,10,0,0,6,0,0,패,서울,,,,,,서울,5.13,23.9,,46
6.8일,6.8,LG 트윈스,21,2,0,8,1,1,승,서울,,,,,,서울,5.14,22.8,,45
6.8일,6.8,롯데 자이언츠,6,1,0,8,1,0,승,인천,,,,,,서울,5.15,21,,41
6.8일,6.8,SK 와이번스,7,0,0,8,1,1,패,인천,,,,,,서울,5.16,23.1,,28
6.8일,6.8,두산 베어스,16,4,1,8,1,0,승,서울,,,,,,서울,5.17,25,,33
6.8일,6.8,키움 히어로즈,12,1,2,8,0,2,패,서울,,,,,,서울,5.18,24.9,,39
6.8일,6.8,삼성 라이온즈,13,0,0,1,1,0,승,대전,,,,,,서울,5.19,22.2,,52
6.8일,6.8,한화 이글스,12,1,0,8,0,1,패,대전,,,,,,서울,5.20,27.5,,30
6.10화,6.1,한화 이글스,17,1,1,9,0,0,승,광주,,,,,,서울,5.21,22.6,,57
6.10화,6.1,KIA 타이거즈,20,3,2,4,0,2,패,광주,,,,,,서울,5.22,26.4,,37
6.10화,6.1,LG 트윈스,9,0,2,7,0,1,승,부산,,,,,,서울,5.23,24.8,,65
6.10화,6.1,롯데 자이언츠,6,2,0,10,0,1,패,부산,,,,,,서울,5.24,22.2,,70
6.10화,6.1,NC 다이노스,13,1,2,6,1,0,승,서울,,,,,,서울,5.25,19.1,0,97
6.10화,6.1,두산 베어스,11,0,0,6,1,3,패,서울,,,,,,서울,5.26,23.4,,36
6.10화,6.1,삼성 라이온즈,11,1,1,2,1,1,무,서울,,,,,,서울,5.27,27,,40
6.10화,6.1,키움 히어로즈,7,3,0,7,0,0,무,서울,,,,,,서울,5.28,26.9,,59
6.11수,6.1,한화 이글스,7,0,0,5,1,0,패,광주,,,,,,서울,5.29,28.7,,33
6.11수,6.1,KIA 타이거즈,12,1,0,5,1,0,승,광주,,,,,,서울,5.30,29.6,,36
6.11수,6.1,LG 트윈스,8,0,1,6,1,0,패,부산,,,,,,서울,5.31,29.3,,46
6.11수,6.1,롯데 자이언츠,7,1,0,9,1,0,승,부산,,,,,,서울,6.1,26.3,,63
6.12목,6.1,한화 이글스,13,0,0,10,1,0,패,광주,,,,,,서울,6.2,22.7,0.5,83
6.12목,6.1,KIA 타이거즈,17,2,2,6,0,2,승,광주,,,,,,서울,6.3,18.9,4.5,100
6.12목,6.1,NC 다이노스,10,0,2,6,1,2,패,서울,,,,,,서울,6.4,25.3,,53
6.12목,6.1,두산 베어스,9,0,0,5,1,2,승,서울,,,,,,서울,6.5,24.2,,56
6.12목,6.1,삼성 라이온즈,11,1,0,7,0,1,패,서울,,,,,,서울,6.6,28.8,,51
6.12목,6.1,키움 히어로즈,13,0,2,8,0,0,승,서울,,,,,,서울,6.7,25.8,,55
6.13금,6.1,한화 이글스,12,1,0,10,0,0,승,창원,,,,,,서울,6.8,22.5,,72
6.13금,6.1,NC 다이노스,4,0,1,6,3,1,패,창원,,,,,,서울,6.9,25.5,,63
6.13금,6.1,KIA 타이거즈,7,1,0,3,2,1,패,부산,,,,,,서울,6.10,23.9,1,86
6.13금,6.1,롯데 자이언츠,11,2,0,3,3,1,승,부산,,,,,,서울,6.11,18.3,0,96
6.13금,6.1,두산 베어스,9,1,0,7,1,0,승,대구,,,,,,서울,6.12,21.9,,74
6.13금,6.1,삼성 라이온즈,8,3,1,12,1,1,패,대구,,,,,,서울,6.13,24.8,,66
6.13금,6.1,SK 와이번스,13,0,1,7,2,0,패,서울,,,,,,서울,6.14,26.1,,58
6.13금,6.1,LG 트윈스,12,3,1,8,0,0,승,서울,,,,,,서울,6.15,26.8,,48
6.14토,6.1,한화 이글스,9,0,0,8,1,0,패,창원,,,,,,서울,6.16,27.9,,46
6.14토,6.1,NC 다이노스,18,2,2,7,2,0,승,창원,,,,,,서울,6.17,26.5,,63
6.14토,6.1,KIA 타이거즈,11,1,1,10,1,0,패,부산,,,,,,서울,6.18,27.1,,63
6.14토,6.1,롯데 자이언츠,10,2,0,4,0,0,승,부산,,,,,,서울,6.19,23.5,0,76
6.14토,6.1,두산 베어스,11,0,1,7,0,0,패,대구,,,,,,서울,6.20,26,0.2,77
6.14토,6.1,삼성 라이온즈,13,1,2,6,0,2,승,대구,,,,,,서울,6.21,25.7,0,73
6.14토,6.1,SK 와이번스,9,0,2,5,0,2,승,서울,,,,,,서울,6.22,27.3,,63
6.14토,6.1,LG 트윈스,5,0,2,5,2,1,패,서울,,,,,,서울,6.23,21.4,,86
6.15일,6.1,한화 이글스,7,0,0,3,3,1,패,창원,,,,,,서울,6.24,26.3,,50
6.15일,6.1,NC 다이노스,17,2,1,5,0,0,승,창원,,,,,,서울,6.25,26.5,,61
6.15일,6.1,KIA 타이거즈,11,1,0,9,1,0,승,부산,,,,,,서울,6.26,27.3,,50
6.15일,6.1,롯데 자이언츠,9,1,0,7,2,1,패,부산,,,,,,서울,6.27,26.3,,59
6.15일,6.1,두산 베어스,9,1,1,5,0,0,패,대구,,,,,,서울,6.28,25,,64
6.15일,6.1,삼성 라이온즈,8,1,1,4,1,0,승,대구,,,,,,서울,6.29,28.2,,54
6.15일,6.1,SK 와이번스,11,0,0,11,1,0,패,서울,,,,,,서울,6.30,29.1,,50
6.15일,6.1,LG 트윈스,14,2,0,7,1,1,승,서울,,,,,,서울,7.1,30.4,,56
6.17화,6.1,LG 트윈스,8,0,3,10,0,0,패,서울,,,,,,서울,7.2,26.7,,76
6.17화,6.1,두산 베어스,7,2,0,6,0,0,승,서울,,,,,,서울,7.3,24,,76
6.17화,6.1,롯데 자이언츠,11,0,0,7,1,2,패,창원,,,,,,서울,7.4,31.6,,41
6.17화,6.1,NC 다이노스,13,0,0,5,2,0,승,창원,,,,,,서울,7.5,27.4,,66
6.17화,6.1,삼성 라이온즈,12,5,1,6,0,0,승,인천,,,,,,서울,7.6,28.1,,52
6.17화,6.1,SK 와이번스,11,1,2,10,0,1,패,인천,,,,,,서울,7.7,31.5,,54
6.17화,6.1,키움 히어로즈,11,2,3,5,2,1,승,광주,,,,,,서울,7.8,29.1,,61
6.17화,6.1,KIA 타이거즈,8,1,2,12,0,2,패,광주,,,,,,서울,7.9,27.3,0,82
6.18수,6.1,LG 트윈스,12,1,1,5,0,1,승,서울,,,,,,서울,7.10,33.3,,30
6.18수,6.1,두산 베어스,12,1,2,5,1,2,패,서울,,,,,,서울,7.11,29,,60
6.18수,6.1,롯데 자이언츠,9,0,0,5,3,2,패,창원,,,,,,서울,7.12,26.6,,71
6.18수,6.1,NC 다이노스,9,0,2,7,0,0,승,창원,,,,,,서울,7.13,26.3,,74
6.18수,6.1,삼성 라이온즈,10,2,0,4,4,0,승,인천,,,,,,서울,7.14,29.7,,54
6.18수,6.1,SK 와이번스,14,1,0,14,1,1,패,인천,,,,,,서울,7.15,29.5,,59
6.18수,6.1,키움 히어로즈,13,2,2,5,1,0,승,광주,,,,,,서울,7.16,31.2,,46
6.18수,6.1,KIA 타이거즈,12,0,2,9,3,0,패,광주,,,,,,서울,7.17,27.6,0,74
6.19목,6.1,LG 트윈스,16,5,1,4,0,0,승,서울,,,,,,서울,7.18,29.7,,62
6.19목,6.1,두산 베어스,8,0,2,7,0,0,패,서울,,,,,,서울,7.19,29.3,,71
6.19목,6.1,롯데 자이언츠,9,1,1,10,3,1,승,창원,,,,,,서울,7.20,29.4,,70
6.19목,6.1,NC 다이노스,10,0,2,6,1,2,패,창원,,,,,,서울,7.21,30,,62
6.19목,6.1,삼성 라이온즈,12,2,2,6,1,2,승,인천,,,,,,서울,7.22,25.9,0.2,85
6.19목,6.1,SK 와이번스,8,0,1,5,1,2,패,인천,,,,,,서울,7.23,23.4,0,89
6.19목,6.1,키움 히어로즈,8,1,0,11,1,0,패,광주,,,,,,서울,7.24,24.5,,74
6.19목,6.1,KIA 타이거즈,6,1,3,3,2,0,승,광주,,,,,,서울,7.25,32.8,,52
6.20금,6.2,KIA 타이거즈,12,1,0,9,1,1,승,서울,,,,,,서울,7.26,24,,68
6.20금,6.2,두산 베어스,3,0,2,6,0,1,패,서울,,,,,,서울,7.27,28.4,,68
6.20금,6.2,SK 와이번스,10,1,1,4,2,0,패,서울,,,,,,서울,7.28,29.2,,67
6.20금,6.2,키움 히어로즈,7,2,1,9,0,0,승,서울,,,,,,서울,7.29,29.2,,63
6.20금,6.2,삼성 라이온즈,16,4,1,9,0,1,승,창원,,,,,,서울,7.30,33,,55
6.20금,6.2,NC 다이노스,9,1,0,5,0,1,패,창원,,,,,,서울,7.31,30.4,1.5,82
6.21토,6.2,KIA 타이거즈,6,1,0,2,0,1,승,서울,,,,,,서울,8.1,33.5,,51
6.21토,6.2,두산 베어스,4,0,2,4,0,0,패,서울,,,,,,서울,8.2,32.5,,55
6.21토,6.2,LG 트윈스,10,1,1,7,0,0,패,대전,,,,,,서울,8.3,26.1,1.5,100
6.21토,6.2,한화 이글스,7,1,0,4,0,0,승,대전,,,,,,서울,8.4,29.2,,80
6.21토,6.2,SK 와이번스,9,2,2,10,2,1,패,서울,,,,,,서울,8.5,28.4,,79
6.21토,6.2,키움 히어로즈,7,1,0,4,0,0,승,서울,,,,,,서울,8.6,23.6,4,100
6.22일,6.2,KIA 타이거즈,5,0,0,5,0,0,승,서울,,,,,,서울,8.7,26.7,,79
6.22일,6.2,두산 베어스,2,0,0,2,0,0,패,서울,,,,,,서울,8.8,29.5,,48
6.22일,6.2,LG 트윈스,10,2,0,2,1,0,승,대전,,,,,,서울,8.9,29.1,,38
6.22일,6.2,한화 이글스,16,1,0,6,0,0,패,대전,,,,,,서울,8.10,20.8,19,100
6.22일,6.2,SK 와이번스,11,3,0,4,1,0,패,서울,,,,,,서울,8.11,26.9,,68
6.22일,6.2,키움 히어로즈,16,1,0,3,1,0,승,서울,,,,,,서울,8.12,29,,61
6.22일,6.2,삼성 라이온즈,5,2,1,3,1,0,승,창원,,,,,,서울,8.13,24.7,0,61
6.22일,6.2,NC 다이노스,5,0,1,8,0,1,패,창원,,,,,,서울,8.14,22.3,,80
6.23월,6.2,LG 트윈스,9,1,0,5,1,0,승,대전,,,,,,서울,8.15,28.8,,62
6.23월,6.2,한화 이글스,4,0,0,3,2,1,패,대전,,,,,,서울,8.16,28.9,,65
6.24화,6.2,롯데 자이언츠,10,2,0,4,1,0,패,대전,,,,,,서울,8.17,23.8,0,80
6.24화,6.2,한화 이글스,11,1,0,5,2,1,승,대전,,,,,,서울,8.18,23.3,,85
6.24화,6.2,NC 다이노스,7,1,1,8,0,0,승,서울,,,,,,서울,8.19,24.6,,88
6.24화,6.2,LG 트윈스,0,0,0,7,1,1,패,서울,,,,,,서울,8.20,27,,75
6.24화,6.2,SK 와이번스,13,1,6,7,0,0,승,광주,,,,,,서울,8.21,23.7,,87
6.24화,6.2,KIA 타이거즈,11,1,0,6,0,0,패,광주,,,,,,서울,8.22,26.6,,71
6.24화,6.2,키움 히어로즈,8,0,1,9,0,1,승,대구,,,,,,서울,8.23,27.5,,67
6.24화,6.2,삼성 라이온즈,11,0,2,2,0,1,패,대구,,,,,,서울,8.24,27.5,,68
6.25수,6.2,롯데 자이언츠,16,1,1,3,0,0,승,대전,,,,,,서울,8.25,27.3,,64
6.25수,6.2,한화 이글스,10,0,0,8,1,2,패,대전,,,,,,서울,8.26,25.8,1,85
6.25수,6.2,NC 다이노스,5,2,0,8,0,0,승,서울,,,,,,서울,8.27,27.5,,60
6.25수,6.2,LG 트윈스,4,0,2,11,0,1,패,서울,,,,,,서울,8.28,28.8,,53
6.25수,6.2,SK 와이번스,10,2,0,9,0,2,패,광주,,,,,,서울,8.29,27.3,0,62
6.25수,6.2,KIA 타이거즈,11,0,2,3,2,0,승,광주,,,,,,서울,8.30,27.3,,69
6.25수,6.2,키움 히어로즈,5,2,0,7,2,6,패,대구,,,,,,서울,8.31,26.7,,57
6.25수,6.2,삼성 라이온즈,20,1,1,4,1,0,승,대구,,,,,,서울,9.1,26.7,,65
6.26목,6.2,롯데 자이언츠,17,1,0,10,1,0,승,대전,,,,,,서울,9.2,25,,65
6.26목,6.2,한화 이글스,16,1,1,7,2,2,패,대전,,,,,,서울,9.3,20.4,,100
6.26목,6.2,NC 다이노스,4,0,1,4,2,1,패,서울,,,,,,서울,9.4,24.8,,66
6.26목,6.2,LG 트윈스,7,0,1,4,0,2,승,서울,,,,,,서울,9.5,25.9,,65
6.26목,6.2,SK 와이번스,9,0,2,5,2,2,패,광주,,,,,,서울,9.6,29.1,,54
6.26목,6.2,KIA 타이거즈,12,1,0,6,1,0,승,광주,,,,,,서울,9.7,27.7,,63
6.26목,6.2,키움 히어로즈,21,5,2,10,0,1,승,대구,,,,,,서울,9.8,27.3,,54
6.26목,6.2,삼성 라이온즈,12,2,2,7,2,0,패,대구,,,,,,서울,9.9,24.6,,44
6.27금,6.2,한화 이글스,9,1,1,5,1,0,승,대구,,,,,,서울,9.10,26.5,,42
6.27금,6.2,삼성 라이온즈,6,2,1,6,0,1,패,대구,,,,,,서울,9.11,26.7,,49
6.27금,6.2,LG 트윈스,10,1,0,7,0,1,패,인천,,,,,,서울,9.12,21.2,0.1,84
6.27금,6.2,SK 와이번스,10,2,0,5,1,0,승,인천,,,,,,서울,9.13,27,,45
6.27금,6.2,NC 다이노스,14,2,1,7,1,0,패,부산,,,,,,서울,9.14,25.3,,56
6.27금,6.2,롯데 자이언츠,15,2,1,8,0,0,승,부산,,,,,,서울,9.15,24.9,,57
6.27금,6.2,키움 히어로즈,8,1,0,8,2,1,패,서울,,,,,,서울,9.16,23.1,,35
6.27금,6.2,두산 베어스,13,1,0,2,0,0,승,서울,,,,,,서울,9.17,22,,52
6.28토,6.2,한화 이글스,12,0,0,6,1,1,패,대구,,,,,,서울,9.18,24.8,,43
6.28토,6.2,삼성 라이온즈,17,3,1,4,0,0,승,대구,,,,,,서울,9.19,25.5,,38
6.28토,6.2,LG 트윈스,6,0,0,6,4,1,패,인천,,,,,,서울,9.20,25.9,,27
6.28토,6.2,SK 와이번스,10,0,1,9,0,1,승,인천,,,,,,서울,9.21,24.1,,47
6.28토,6.2,NC 다이노스,8,1,1,1,2,0,패,부산,,,,,,서울,9.22,26.1,,36
6.28토,6.2,롯데 자이언츠,9,0,0,3,0,0,승,부산,,,,,,서울,9.23,25.7,,35
6.28토,6.2,키움 히어로즈,14,0,0,10,0,1,승,서울,,,,,,서울,9.24,22.2,,67
6.28토,6.2,두산 베어스,9,0,4,4,2,0,패,서울,,,,,,서울,9.25,25.3,,58
6.29일,6.2,한화 이글스,10,2,0,5,2,1,패,대구,,,,,,서울,9.26,21.5,0,84
6.29일,6.2,삼성 라이온즈,13,3,0,4,1,1,승,대구,,,,,,서울,9.27,23.1,,74
6.29일,6.2,LG 트윈스,15,3,0,7,1,0,승,인천,,,,,,서울,9.28,23.5,,75
6.29일,6.2,SK 와이번스,10,1,1,8,1,2,패,인천,,,,,,서울,9.29,19.2,,96
6.29일,6.2,NC 다이노스,7,0,0,5,1,2,패,부산,,,,,,서울,9.30,20.6,,60
6.29일,6.2,롯데 자이언츠,10,2,0,8,0,2,승,부산,,,,,,서울,10.1,22.2,,60
6.29일,6.2,키움 히어로즈,13,0,1,3,3,0,승,서울,,,,,,서울,10.2,18,1,99
6.29일,6.2,두산 베어스,4,0,1,6,1,0,패,서울,,,,,,서울,10.3,18.5,,60
,,,,,,,,,,,,,,,,서울,10.4,19.7,,49
,,,,,,,,,,,,,,,,서울,10.5,20.6,,46
,,,,,,,,,,,,,,,,서울,10.6,19.9,,45
,,,,,,,,,,,,,,,,서울,10.7,18.3,,46
team_text,,번호,,,,,,,,,,,,,,서울,10.8,20.3,,54
NC 다이노스,,1,,,,,,,,,,,,,,서울,10.9,22.1,,46
두산 베어스,,2,,,,,,,,,,,,,,서울,10.10,22,,58
KT 위즈,,3,,,,,,,,,,,,,,서울,10.11,23.1,,49
LG 트윈스,,4,,,,,,,,,,,,,,서울,10.12,25.8,,35
키움 히어로즈,,5,,,,,,,,,,,,,,서울,10.13,15.5,,54
KIA 타이거즈,,6,,,,,,,,,,,,,,서울,10.14,16.3,,43
롯데 자이언츠,,7,,,,,,,,,,,,,,서울,10.15,15.3,,49
삼성 라이온즈,,8,,,,,,,,,,,,,,서울,10.16,14.9,,26
SK 와이번스,,9,,,,,,,,,,,,,,서울,10.17,16.9,,48
한화 이글스,,10,,,,,,,,,,,,,,서울,10.18,19.2,,62
,,,,,,,,,,,,,,,,서울,10.19,20.3,,38
,,,,,,,,,,,,,,,,서울,10.20,15.4,,98
,,,,,,,,,,,,,,,,서울,10.21,12.4,0.5,91
,,,,,,,,,,,,,,,,서울,10.22,14.9,,62
,,,,,,,,,,,,,,,,서울,10.23,16.7,,56
,,,,,,,,,,,,,,,,서울,10.24,18,,71
,,,,,,,,,,,,,,,,서울,10.25,18.6,,77
,,,,,,,,,,,,,,,,서울,10.26,18.2,,81
,,,,,,,,,,,,,,,,서울,10.27,12.9,,32
,,,,,,,,,,,,,,,,서울,10.28,14,,34
,,,,,,,,,,,,,,,,서울,10.29,16.3,,34
,,,,,,,,,,,,,,,,서울,10.30,17.1,,40
,,,,,,,,,,,,,,,,인천,4.1,16.7,,27
,,,,,,,,,,,,,,,,인천,4.2,14.3,,49
,,,,,,,,,,,,,,,,인천,4.3,9.9,,60
,,,,,,,,,,,,,,,,인천,4.4,7.3,,56
,,,,,,,,,,,,,,,,인천,4.5,6.7,,69
,,,,,,,,,,,,,,,,인천,4.6,8.3,,71
,,,,,,,,,,,,,,,,인천,4.7,10.8,,65
,,,,,,,,,,,,,,,,인천,4.8,13.4,,76
,,,,,,,,,,,,,,,,인천,4.9,9.4,,94
,,,,,,,,,,,,,,,,인천,4.10,11.6,,87
,,,,,,,,,,,,,,,,인천,4.11,12.8,,83
,,,,,,,,,,,,,,,,인천,4.12,13.7,,86
,,,,,,,,,,,,,,,,인천,4.13,16.3,,57
,,,,,,,,,,,,,,,,인천,4.14,14.5,,62
,,,,,,,,,,,,,,,,인천,4.15,10.8,,99
,,,,,,,,,,,,,,,,인천,4.16,12.1,,93
,,,,,,,,,,,,,,,,인천,4.17,16.2,,61
,,,,,,,,,,,,,,,,인천,4.18,16.4,,53
,,,,,,,,,,,,,,,,인천,4.19,16.6,,49
,,,,,,,,,,,,,,,,인천,4.20,14,,70
,,,,,,,,,,,,,,,,인천,4.21,16,,53
,,,,,,,,,,,,,,,,인천,4.22,18.1,,35
,,,,,,,,,,,,,,,,인천,4.23,18,,66
,,,,,,,,,,,,,,,,인천,4.24,19.2,,62
,,,,,,,,,,,,,,,,인천,4.25,20.1,,34
,,,,,,,,,,,,,,,,인천,4.26,18.7,,46
,,,,,,,,,,,,,,,,인천,4.27,16.1,0,80
,,,,,,,,,,,,,,,,인천,4.28,14.1,0.6,98
,,,,,,,,,,,,,,,,인천,4.29,16.1,,71
,,,,,,,,,,,,,,,,인천,4.30,17.3,,59
,,,,,,,,,,,,,,,,인천,5.1,15,,83
,,,,,,,,,,,,,,,,인천,5.2,12.8,,99
,,,,,,,,,,,,,,,,인천,5.3,13.4,,51
,,,,,,,,,,,,,,,,인천,5.4,10.4,0.3,89
,,,,,,,,,,,,,,,,인천,5.5,11.4,,79
,,,,,,,,,,,,,,,,인천,5.6,13.4,,43
,,,,,,,,,,,,,,,,인천,5.7,16.6,,55
,,,,,,,,,,,,,,,,인천,5.8,14.7,,86
,,,,,,,,,,,,,,,,인천,5.9,20.2,,40
,,,,,,,,,,,,,,,,인천,5.10,22.1,,43
,,,,,,,,,,,,,,,,인천,5.11,19.2,0.4,67
,,,,,,,,,,,,,,,,인천,5.12,15.3,,92
,,,,,,,,,,,,,,,,인천,5.13,18.5,,78
,,,,,,,,,,,,,,,,인천,5.14,19.6,,64
,,,,,,,,,,,,,,,,인천,5.15,17.6,,68
,,,,,,,,,,,,,,,,인천,5.16,20.5,,53
,,,,,,,,,,,,,,,,인천,5.17,20.5,,68
,,,,,,,,,,,,,,,,인천,5.18,21.3,,48
,,,,,,,,,,,,,,,,인천,5.19,17.9,,79
,,,,,,,,,,,,,,,,인천,5.20,24.3,,40
,,,,,,,,,,,,,,,,인천,5.21,17.7,,89
,,,,,,,,,,,,,,,,인천,5.22,21,,77
,,,,,,,,,,,,,,,,인천,5.23,18.3,,96
,,,,,,,,,,,,,,,,인천,5.24,20,,83
,,,,,,,,,,,,,,,,인천,5.25,19,,99
,,,,,,,,,,,,,,,,인천,5.26,19.2,,68
,,,,,,,,,,,,,,,,인천,5.27,23.1,,62
,,,,,,,,,,,,,,,,인천,5.28,23.7,,70
,,,,,,,,,,,,,,,,인천,5.29,23.6,,64
,,,,,,,,,,,,,,,,인천,5.30,26,,39
,,,,,,,,,,,,,,,,인천,5.31,23.8,,78
,,,,,,,,,,,,,,,,인천,6.1,24.2,,81
,,,,,,,,,,,,,,,,인천,6.2,20.6,0,99
,,,,,,,,,,,,,,,,인천,6.3,18.9,2.3,99
,,,,,,,,,,,,,,,,인천,6.4,25.8,,61
,,,,,,,,,,,,,,,,인천,6.5,24.4,,60
,,,,,,,,,,,,,,,,인천,6.6,24.9,,68
,,,,,,,,,,,,,,,,인천,6.7,23.9,,75
,,,,,,,,,,,,,,,,인천,6.8,21,,91
,,,,,,,,,,,,,,,,인천,6.9,22.4,,72
,,,,,,,,,,,,,,,,인천,6.10,25.3,,76
,,,,,,,,,,,,,,,,인천,6.11,20.3,2.6,90
,,,,,,,,,,,,,,,,인천,6.12,20.2,0,80
,,,,,,,,,,,,,,,,인천,6.13,21.4,,96
,,,,,,,,,,,,,,,,인천,6.14,23.3,,74
,,,,,,,,,,,,,,,,인천,6.15,22.8,,82
,,,,,,,,,,,,,,,,인천,6.16,23.9,,77
,,,,,,,,,,,,,,,,인천,6.17,25.8,,75
,,,,,,,,,,,,,,,,인천,6.18,23.9,,85
,,,,,,,,,,,,,,,,인천,6.19,21.3,0,99
,,,,,,,,,,,,,,,,인천,6.20,23.9,,96
,,,,,,,,,,,,,,,,인천,6.21,25.2,,84
,,,,,,,,,,,,,,,,인천,6.22,25.8,,71
,,,,,,,,,,,,,,,,인천,6.23,22.7,,85
,,,,,,,,,,,,,,,,인천,6.24,24.2,,78
,,,,,,,,,,,,,,,,인천,6.25,24.8,,76
,,,,,,,,,,,,,,,,인천,6.26,24.9,,76
,,,,,,,,,,,,,,,,인천,6.27,24.1,,81
,,,,,,,,,,,,,,,,인천,6.28,23.5,,87
,,,,,,,,,,,,,,,,인천,6.29,25.4,,76
,,,,,,,,,,,,,,,,인천,6.30,26.1,,84
,,,,,,,,,,,,,,,,인천,7.1,28.6,,64
,,,,,,,,,,,,,,,,인천,7.2,24.5,,93
,,,,,,,,,,,,,,,,인천,7.3,22.1,,98
,,,,,,,,,,,,,,,,인천,7.4,28.3,,66
,,,,,,,,,,,,,,,,인천,7.5,24.8,,78
,,,,,,,,,,,,,,,,인천,7.6,26.9,,55
,,,,,,,,,,,,,,,,인천,7.7,28.4,,73
,,,,,,,,,,,,,,,,인천,7.8,27.9,,78
,,,,,,,,,,,,,,,,인천,7.9,26.8,,91
,,,,,,,,,,,,,,,,인천,7.10,31.4,,49
